# HEC-RAS Inflow Hydrograph — S3_Cascade_Failure
# Time(min)    Flow(m3/s)
      921.60            0.00
      922.20            0.00
      922.80            0.00
      923.40            0.00
      924.00            0.00
      924.60            0.00
      925.20            0.00
      925.80            0.00
      926.40            0.00
      927.00            0.00
      927.60            0.00
      928.20            0.00
      928.80            0.00
      929.40            0.00
      930.00            0.00
      930.60            0.00
      931.20            0.00
      931.80            0.00
      932.40            0.00
      933.00            0.00
      933.60            0.00
      934.20            0.00
      934.80            0.00
      935.40            0.00
      936.00            0.00
      936.60            0.00
      937.20            0.00
      937.80            0.00
      938.40            0.00
      939.00            0.00
      939.60            0.00
      940.20            0.00
      940.80            0.00
      941.40            0.00
      942.00            0.00
      942.60            0.00
      943.20            0.00
      943.80            0.00
      944.40            0.00
      945.00            0.00
      945.60            0.00
      946.20            0.00
      946.80            0.00
      947.40            0.00
      948.00            0.00
      948.60            0.00
      949.20            0.00
      949.80            0.00
      950.40            0.00
      951.00            0.00
      951.60            0.00
      952.20            0.00
      952.80            0.00
      953.40            0.00
      954.00            0.00
      954.60            0.00
      955.20            0.00
      955.80            0.00
      956.40            0.00
      957.00            0.00
      957.60            0.00
      958.20            0.00
      958.80            0.00
      959.40            0.00
      960.00            0.00
      960.60            0.00
      961.20            0.00
      961.80            0.00
      962.40            0.00
      963.00            0.00
      963.60            0.00
      964.20            0.00
      964.80            0.00
      965.40            0.00
      966.00            0.00
      966.60            0.00
      967.20            0.00
      967.80            0.00
      968.40            0.00
      969.00            0.00
      969.60            0.00
      970.20            0.00
      970.80            0.00
      971.40            0.00
      972.00            0.00
      972.60            0.00
      973.20            0.00
      973.80            0.00
      974.40            0.00
      975.00            0.00
      975.60            0.00
      976.20            0.00
      976.80            0.00
      977.40            0.00
      978.00            0.00
      978.60            0.00
      979.20            0.00
      979.80            0.00
      980.40            0.00
      981.00            0.00
      981.60            0.00
      982.20            0.00
      982.80            0.00
      983.40            0.00
      984.00            0.00
      984.60            0.00
      985.20            0.00
      985.80            0.00
      986.40            0.00
      987.00            0.00
      987.60            0.00
      988.20            0.00
      988.80            0.00
      989.40            0.00
      990.00            0.00
      990.60            0.00
      991.20            0.00
      991.80            0.00
      992.40            0.00
      993.00            0.00
      993.60            0.00
      994.20            0.00
      994.80            0.00
      995.40            0.00
      996.00            0.00
      996.60            0.00
      997.20            0.00
      997.80            0.00
      998.40            0.00
      999.00            0.00
      999.60            0.00
     1000.20            0.00
     1000.80            0.00
     1001.40            0.00
     1002.00            0.00
     1002.60            0.00
     1003.20            0.00
     1003.80            0.00
     1004.40            0.00
     1005.00            0.00
     1005.60            0.00
     1006.20            0.00
     1006.80            0.00
     1007.40            0.00
     1008.00            0.00
     1008.60            0.00
     1009.20            0.00
     1009.80            0.00
     1010.40            0.00
     1011.00            0.00
     1011.60            0.00
     1012.20            0.00
     1012.80            0.00
     1013.40            0.00
     1014.00            0.00
     1014.60            0.00
     1015.20            0.00
     1015.80            0.00
     1016.40            0.00
     1017.00            0.00
     1017.60            0.00
     1018.20            0.00
     1018.80            0.00
     1019.40            0.00
     1020.00            0.00
     1020.60            0.00
     1021.20            0.00
     1021.80            0.00
     1022.40            0.00
     1023.00            0.00
     1023.60            0.00
     1024.20            0.00
     1024.80            0.00
     1025.40            0.00
     1026.00            0.00
     1026.60            0.00
     1027.20            0.00
     1027.80            0.00
     1028.40            0.00
     1029.00            0.00
     1029.60            0.00
     1030.20            0.00
     1030.80            0.00
     1031.40            0.00
     1032.00            0.00
     1032.60            0.00
     1033.20            0.00
     1033.80            0.00
     1034.40            0.00
     1035.00            0.00
     1035.60            0.00
     1036.20            0.00
     1036.80            0.00
     1037.40            0.00
     1038.00            0.00
     1038.60            0.00
     1039.20            0.00
     1039.80            0.00
     1040.40            0.00
     1041.00            0.00
     1041.60            0.00
     1042.20            0.00
     1042.80            0.00
     1043.40            0.00
     1044.00            0.00
     1044.60            0.00
     1045.20            0.00
     1045.80            0.00
     1046.40            0.00
     1047.00            0.00
     1047.60            0.00
     1048.20            0.00
     1048.80            0.00
     1049.40            0.00
     1050.00            0.00
     1050.60            0.00
     1051.20            0.00
     1051.80            0.00
     1052.40            0.00
     1053.00            0.00
     1053.60            0.00
     1054.20            0.00
     1054.80            0.00
     1055.40            0.00
     1056.00            0.00
     1056.60            0.00
     1057.20            0.00
     1057.80            0.00
     1058.40            0.00
     1059.00            0.00
     1059.60            0.00
     1060.20            0.00
     1060.80            0.00
     1061.40            0.00
     1062.00            0.00
     1062.60            0.00
     1063.20            0.00
     1063.80            0.00
     1064.40            0.00
     1065.00            0.00
     1065.60            0.00
     1066.20            0.00
     1066.80            0.00
     1067.40            0.00
     1068.00            0.00
     1068.60            0.00
     1069.20            0.00
     1069.80            0.00
     1070.40            0.00
     1071.00            0.00
     1071.60            0.00
     1072.20            0.00
     1072.80            0.00
     1073.40            0.00
     1074.00            0.00
     1074.60            0.00
     1075.20            0.00
     1075.80            0.00
     1076.40            0.00
     1077.00            0.00
     1077.60            0.00
     1078.20            0.00
     1078.80            0.00
     1079.40            0.00
     1080.00            0.00
     1080.60            0.00
     1081.20            0.00
     1081.80            0.00
     1082.40            0.00
     1083.00            0.00
     1083.60            0.00
     1084.20            0.00
     1084.80            0.00
     1085.40            0.00
     1086.00            0.00
     1086.60            0.00
     1087.20            0.00
     1087.80            0.00
     1088.40            0.00
     1089.00            0.00
     1089.60            0.00
     1090.20            0.00
     1090.80            0.00
     1091.40            0.00
     1092.00            0.00
     1092.60            0.00
     1093.20            0.00
     1093.80            0.00
     1094.40            0.00
     1095.00            0.00
     1095.60            0.00
     1096.20            0.00
     1096.80            0.00
     1097.40            0.00
     1098.00            0.00
     1098.60            0.00
     1099.20            0.00
     1099.80            0.00
     1100.40            0.00
     1101.00            0.00
     1101.60            0.00
     1102.20            0.00
     1102.80            0.00
     1103.40            0.00
     1104.00            0.00
     1104.60            0.00
     1105.20            0.00
     1105.80            0.00
     1106.40            0.00
     1107.00            0.00
     1107.60            0.00
     1108.20            0.00
     1108.80            0.00
     1109.40            0.00
     1110.00            0.00
     1110.60            0.00
     1111.20            0.00
     1111.80            0.00
     1112.40            0.00
     1113.00            0.00
     1113.60            0.00
     1114.20            0.00
     1114.80            0.00
     1115.40            0.00
     1116.00            0.00
     1116.60            0.00
     1117.20            0.00
     1117.80            0.00
     1118.40            0.00
     1119.00            0.00
     1119.60            0.00
     1120.20            0.00
     1120.80            0.00
     1121.40            0.00
     1122.00            0.00
     1122.60            0.00
     1123.20            0.00
     1123.80            0.00
     1124.40            0.00
     1125.00            0.00
     1125.60            0.00
     1126.20            0.00
     1126.80            0.00
     1127.40            0.00
     1128.00            0.00
     1128.60            0.00
     1129.20            0.00
     1129.80            0.00
     1130.40            0.00
     1131.00            0.00
     1131.60            0.00
     1132.20            0.00
     1132.80            0.00
     1133.40            0.00
     1134.00            0.00
     1134.60            0.00
     1135.20            0.00
     1135.80            0.00
     1136.40            0.00
     1137.00            0.00
     1137.60            0.00
     1138.20            0.00
     1138.80            0.00
     1139.40            0.00
     1140.00            0.00
     1140.60            0.00
     1141.20            0.00
     1141.80            0.00
     1142.40            0.00
     1143.00            0.00
     1143.60            0.00
     1144.20            0.00
     1144.80            0.00
     1145.40            0.00
     1146.00            0.00
     1146.60            0.00
     1147.20            0.00
     1147.80            0.00
     1148.40            0.00
     1149.00            0.00
     1149.60            0.00
     1150.20            0.00
     1150.80            0.00
     1151.40            0.00
     1152.00            0.00
     1152.60            0.00
     1153.20            0.00
     1153.80            0.00
     1154.40            0.00
     1155.00            0.00
     1155.60            0.00
     1156.20            0.00
     1156.80            0.00
     1157.40            0.00
     1158.00            0.00
     1158.60            0.00
     1159.20            0.00
     1159.80            0.00
     1160.40            0.00
     1161.00            0.00
     1161.60            0.00
     1162.20            0.00
     1162.80            0.00
     1163.40            0.00
     1164.00            0.00
     1164.60            0.00
     1165.20            0.00
     1165.80            0.00
     1166.40            0.00
     1167.00            0.00
     1167.60            0.00
     1168.20            0.00
     1168.80            0.00
     1169.40            0.00
     1170.00            0.00
     1170.60            0.00
     1171.20            0.00
     1171.80            0.00
     1172.40            0.00
     1173.00            0.00
     1173.60            0.00
     1174.20            0.00
     1174.80            0.00
     1175.40            0.00
     1176.00            0.00
     1176.60            0.00
     1177.20            0.00
     1177.80            0.00
     1178.40            0.00
     1179.00            0.00
     1179.60            0.00
     1180.20            0.00
     1180.80            0.00
     1181.40            0.00
     1182.00            0.00
     1182.60            0.00
     1183.20            0.00
     1183.80            0.00
     1184.40            0.00
     1185.00            0.00
     1185.60            0.00
     1186.20            0.00
     1186.80            0.00
     1187.40            0.00
     1188.00            0.00
     1188.60            0.00
     1189.20            0.00
     1189.80            0.00
     1190.40            0.00
     1191.00            0.00
     1191.60            0.00
     1192.20            0.00
     1192.80            0.00
     1193.40            0.00
     1194.00            0.00
     1194.60            0.00
     1195.20            0.00
     1195.80            0.00
     1196.40            0.00
     1197.00            0.00
     1197.60            0.00
     1198.20            0.00
     1198.80            0.00
     1199.40            0.00
     1200.00            0.00
     1200.60            0.00
     1201.20            0.00
     1201.80            0.00
     1202.40            0.00
     1203.00            0.00
     1203.60            0.00
     1204.20            0.00
     1204.80            0.00
     1205.40            0.00
     1206.00            0.00
     1206.60            0.00
     1207.20            0.00
     1207.80            0.00
     1208.40            0.00
     1209.00            0.00
     1209.60            0.00
     1210.20            0.00
     1210.80            0.00
     1211.40            0.00
     1212.00            0.00
     1212.60            0.00
     1213.20            0.00
     1213.80            0.00
     1214.40            0.00
     1215.00            0.00
     1215.60            0.00
     1216.20            0.00
     1216.80            0.00
     1217.40            0.00
     1218.00            0.00
     1218.60            0.00
     1219.20            0.00
     1219.80            0.00
     1220.40            0.00
     1221.00            0.00
     1221.60            0.00
     1222.20            0.00
     1222.80            0.00
     1223.40            0.00
     1224.00            0.00
     1224.60            0.00
     1225.20            0.00
     1225.80            0.00
     1226.40            0.00
     1227.00            0.00
     1227.60            0.00
     1228.20            0.00
     1228.80            0.00
     1229.40            0.00
     1230.00            0.00
     1230.60            0.00
     1231.20            0.00
     1231.80            0.00
     1232.40            0.00
     1233.00            0.00
     1233.60            0.00
     1234.20            0.00
     1234.80            0.00
     1235.40            0.00
     1236.00            0.00
     1236.60            0.00
     1237.20            0.00
     1237.80            0.00
     1238.40            0.00
     1239.00            0.00
     1239.60            0.00
     1240.20            0.00
     1240.80            0.00
     1241.40            0.00
     1242.00            0.00
     1242.60            0.00
     1243.20            0.00
     1243.80            0.00
     1244.40            0.00
     1245.00            0.00
     1245.60            0.00
     1246.20            0.00
     1246.80            0.00
     1247.40            0.00
     1248.00            0.00
     1248.60            0.00
     1249.20            0.00
     1249.80            0.00
     1250.40            0.00
     1251.00            0.00
     1251.60            0.00
     1252.20            0.00
     1252.80            0.00
     1253.40            0.00
     1254.00            0.00
     1254.60            0.00
     1255.20            0.00
     1255.80            0.00
     1256.40            0.00
     1257.00            0.00
     1257.60            0.00
     1258.20            0.00
     1258.80            0.00
     1259.40            0.00
     1260.00            0.00
     1260.60            0.00
     1261.20            0.00
     1261.80            0.00
     1262.40            0.00
     1263.00            0.00
     1263.60            0.00
     1264.20            0.00
     1264.80            0.00
     1265.40            0.00
     1266.00            0.00
     1266.60            0.00
     1267.20            0.00
     1267.80            0.00
     1268.40            0.00
     1269.00            0.00
     1269.60            0.00
     1270.20            0.00
     1270.80            0.00
     1271.40            0.00
     1272.00            0.00
     1272.60            0.00
     1273.20            0.00
     1273.80            0.00
     1274.40            0.00
     1275.00            0.00
     1275.60            0.00
     1276.20            0.00
     1276.80            0.00
     1277.40            0.00
     1278.00            0.00
     1278.60            0.00
     1279.20            0.00
     1279.80            0.00
     1280.40            0.00
     1281.00            0.00
     1281.60            0.00
     1282.20            0.00
     1282.80            0.00
     1283.40            0.00
     1284.00            0.00
     1284.60            0.00
     1285.20            0.00
     1285.80            0.00
     1286.40            0.00
     1287.00            0.00
     1287.60            0.00
     1288.20            0.00
     1288.80            0.00
     1289.40            0.00
     1290.00            0.00
     1290.60            0.00
     1291.20            0.00
     1291.80            0.00
     1292.40            0.00
     1293.00            0.00
     1293.60            0.00
     1294.20            0.00
     1294.80            0.00
     1295.40            0.00
     1296.00            0.00
     1296.60            0.00
     1297.20            0.00
     1297.80            0.00
     1298.40            0.00
     1299.00            0.00
     1299.60            0.00
     1300.20            0.00
     1300.80            0.00
     1301.40            0.00
     1302.00            0.00
     1302.60            0.00
     1303.20            0.00
     1303.80            0.00
     1304.40            0.00
     1305.00            0.00
     1305.60            0.00
     1306.20            0.00
     1306.80            0.00
     1307.40            0.00
     1308.00            0.00
     1308.60            0.00
     1309.20            0.00
     1309.80            0.00
     1310.40            0.00
     1311.00            0.00
     1311.60            0.00
     1312.20            0.00
     1312.80            0.00
     1313.40            0.00
     1314.00            0.00
     1314.60            0.00
     1315.20            0.00
     1315.80            0.00
     1316.40            0.00
     1317.00            0.00
     1317.60            0.00
     1318.20            0.00
     1318.80            0.00
     1319.40            0.00
     1320.00            0.00
     1320.60            0.00
     1321.20            0.00
     1321.80            0.00
     1322.40            0.00
     1323.00            0.00
     1323.60            0.00
     1324.20            0.00
     1324.80            0.00
     1325.40            0.00
     1326.00            0.00
     1326.60            0.00
     1327.20            0.00
     1327.80            0.00
     1328.40            0.00
     1329.00            0.00
     1329.60            0.00
     1330.20            0.00
     1330.80            0.00
     1331.40            0.00
     1332.00            0.00
     1332.60            0.00
     1333.20            0.00
     1333.80            0.00
     1334.40            0.00
     1335.00            0.00
     1335.60            0.00
     1336.20            0.00
     1336.80            0.00
     1337.40            0.00
     1338.00            0.00
     1338.60            0.00
     1339.20            0.00
     1339.80            0.00
     1340.40            0.00
     1341.00            0.00
     1341.60            0.00
     1342.20            0.00
     1342.80            0.00
     1343.40            0.00
     1344.00            0.00
     1344.60            0.00
     1345.20            0.00
     1345.80            0.00
     1346.40            0.00
     1347.00            0.00
     1347.60            0.00
     1348.20            0.00
     1348.80            0.00
     1349.40            0.00
     1350.00            0.00
     1350.60            0.00
     1351.20            0.00
     1351.80            0.00
     1352.40            0.00
     1353.00            0.00
     1353.60            0.00
     1354.20            0.00
     1354.80            0.00
     1355.40            0.00
     1356.00            0.00
     1356.60            0.00
     1357.20            0.00
     1357.80            0.00
     1358.40            0.00
     1359.00            0.00
     1359.60            0.00
     1360.20            0.00
     1360.80            0.00
     1361.40            0.00
     1362.00            0.00
     1362.60            0.00
     1363.20            0.00
     1363.80            0.00
     1364.40            0.00
     1365.00            0.00
     1365.60            0.00
     1366.20            0.00
     1366.80            0.00
     1367.40            0.00
     1368.00            0.00
     1368.60            0.00
     1369.20            0.00
     1369.80            0.00
     1370.40            0.00
     1371.00            0.00
     1371.60            0.00
     1372.20            0.00
     1372.80            0.00
     1373.40            0.00
     1374.00            0.00
     1374.60            0.00
     1375.20            0.00
     1375.80            0.00
     1376.40            0.00
     1377.00            0.00
     1377.60            0.00
     1378.20            0.00
     1378.80            0.00
     1379.40            0.00
     1380.00            0.00
     1380.60            0.00
     1381.20            0.00
     1381.80            0.00
     1382.40            0.00
     1383.00            0.00
     1383.60            0.00
     1384.20            0.00
     1384.80            0.00
     1385.40            0.00
     1386.00            0.00
     1386.60            0.00
     1387.20            0.00
     1387.80            0.00
     1388.40            0.00
     1389.00            0.00
     1389.60            0.00
     1390.20            0.00
     1390.80            0.00
     1391.40            0.00
     1392.00            0.00
     1392.60            0.00
     1393.20            0.00
     1393.80            0.00
     1394.40            0.00
     1395.00            0.00
     1395.60            0.00
     1396.20            0.00
     1396.80            0.00
     1397.40            0.00
     1398.00            0.00
     1398.60            0.00
     1399.20            0.00
     1399.80            0.00
     1400.40            0.00
     1401.00            0.00
     1401.60            0.00
     1402.20            0.00
     1402.80            0.00
     1403.40            0.00
     1404.00            0.00
     1404.60            0.00
     1405.20            0.00
     1405.80            0.00
     1406.40            0.00
     1407.00            0.00
     1407.60            0.00
     1408.20            0.00
     1408.80            0.00
     1409.40            0.00
     1410.00            0.00
     1410.60            0.00
     1411.20            0.00
     1411.80            0.00
     1412.40            0.00
     1413.00            0.00
     1413.60            0.00
     1414.20            0.00
     1414.80            0.00
     1415.40            0.00
     1416.00            0.00
     1416.60            0.00
     1417.20            0.00
     1417.80            0.00
     1418.40            0.00
     1419.00            0.00
     1419.60            0.00
     1420.20            0.00
     1420.80            0.00
     1421.40            0.00
     1422.00            0.00
     1422.60            0.00
     1423.20            0.00
     1423.80            0.00
     1424.40            0.00
     1425.00            0.00
     1425.60            0.00
     1426.20            0.00
     1426.80            0.00
     1427.40            0.00
     1428.00            0.00
     1428.60            0.00
     1429.20            0.00
     1429.80            0.00
     1430.40            0.00
     1431.00            0.00
     1431.60            0.00
     1432.20            0.00
     1432.80            0.00
     1433.40            0.00
     1434.00            0.00
     1434.60            0.00
     1435.20            0.00
     1435.80            0.00
     1436.40            0.00
     1437.00            0.00
     1437.60            0.00
     1438.20            0.00
     1438.80            0.00
     1439.40            0.00
     1440.00            0.00
